v_products_model	v_products_image	v_products_name_2	v_products_description_2	v_products_url_2	v_products_name_1	v_products_description_1	v_products_url_1	v_specials_price	v_specials_date_avail	v_specials_expires_date	v_products_price	v_products_weight	v_date_avail	v_date_added	v_products_quantity	v_manufacturers_name	v_categories_name_1	v_categories_name_2	v_categories_name_3	v_categories_name_4	v_categories_name_5	v_categories_name_6	v_categories_name_7	v_tax_class_title	v_status	EOREOR
12	1.jpg	wolsadfasdf	asdfasdf		wolsadfasdf	asdfasdf					23	0	0000-00-00 00:00:00	2008-07-27 21:59:28	1000		Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				--none--	0	EOREOR
DVD-RPMK	dvd/replacement_killers.gif	The Replacement Killers	<p>Regional Code: 2 (Japan, Europe, Middle East, South Africa).<br />Languages: English, Deutsch.<br />Subtitles: English, Deutsch, Spanish.<br />Audio: Dolby Surround 5.1.<br />Picture Format: 16:9 Wide-Screen.<br />Length: (approx) 80 minutes.<br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).</p>	www.replacement-killers.com	The Replacement Killers	<p>Regional Code: 2 (Japan, Europe, Middle East, South Africa).<br />Languages: English, Deutsch.<br />Subtitles: English, Deutsch, Spanish.<br />Audio: Dolby Surround 5.1.<br />Picture Format: 16:9 Wide-Screen.<br />Length: (approx) 80 minutes.<br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).</p>	www.replacement-killers.com				42	23	0000-00-00 00:00:00	2003-11-03 12:32:17	10	Warner	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
DVD-YGEM	dvd/youve_got_mail.gif	You've Got Mail Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br />Languages: English, Deutsch, Spanish. <br />Subtitles: English, Deutsch, Spanish, French, Nordic, Polish. <br />Audio: Dolby Digital 5.1. <br />Picture Format: 16:9 Wide-Screen. <br />Length: (approx) 115 minutes. <br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).	www.youvegotmail.com	You've Got Mail Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br />Languages: English, Deutsch, Spanish. <br />Subtitles: English, Deutsch, Spanish, French, Nordic, Polish. <br />Audio: Dolby Digital 5.1. <br />Picture Format: 16:9 Wide-Screen. <br />Length: (approx) 115 minutes. <br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).	www.youvegotmail.com				34.99	7	0000-00-00 00:00:00	2003-11-03 12:32:17	499	Warner	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
DVD-ABUG	dvd/a_bugs_life.gif	A Bug's Life "Multi Pak" Special 2003 Collectors Edition	<ul><li>  A Bug's Life &quot;Multi Pak&quot; Special 2003 Collectors Edition  </li><li>  Regional Code: 2 (Japan, Europe, Middle East, South Africa).  </li><li>  Languages: English, Deutsch.  </li><li>  Subtitles: English, Deutsch, Spanish.  </li><li>  Audio: Dolby Digital 5.1 / Dolby Surround Stereo.  </li><li>  Picture Format: 16:9 Wide-Screen.  </li><li>  Length: (approx) 91 minutes.  </li><li>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).</li></ul>	www.abugslife.com	A Bug's Life "Multi Pak" Special 2003 Collectors Edition	<ul><li>  A Bug's Life &quot;Multi Pak&quot; Special 2003 Collectors Edition  </li><li>  Regional Code: 2 (Japan, Europe, Middle East, South Africa).  </li><li>  Languages: English, Deutsch.  </li><li>  Subtitles: English, Deutsch, Spanish.  </li><li>  Audio: Dolby Digital 5.1 / Dolby Surround Stereo.  </li><li>  Picture Format: 16:9 Wide-Screen.  </li><li>  Length: (approx) 91 minutes.  </li><li>  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).</li></ul>	www.abugslife.com				35.99	7	0000-00-00 00:00:00	2003-11-07 22:03:45	796	Warner	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
DVD-UNSG	dvd/under_siege.gif	Under Siege Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br />Languages: English, Deutsch. <br />Subtitles: English, Deutsch, Spanish. <br />Audio: Dolby Surround 5.1. <br />Picture Format: 16:9 Wide-Screen. <br />Length: (approx) 98 minutes. <br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		Under Siege Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br />Languages: English, Deutsch. <br />Subtitles: English, Deutsch, Spanish. <br />Audio: Dolby Surround 5.1. <br />Picture Format: 16:9 Wide-Screen. <br />Length: (approx) 98 minutes. <br />Other: Interactive Menus, Chapter Selection, Subtitles (more languages).					29.99	7	0000-00-00 00:00:00	2003-11-03 12:32:17	10	Warner	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
DVD-UNSG2	dvd/under_siege2.gif	Under Siege 2 - Dark Territory	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br /> Languages: English, Deutsch. <br /> Subtitles: English, Deutsch, Spanish. <br /> Audio: Dolby Surround 5.1. <br /> Picture Format: 16:9 Wide-Screen. <br /> Length: (approx) 98 minutes. <br /> Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		Under Siege 2 - Dark Territory	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br /> Languages: English, Deutsch. <br /> Subtitles: English, Deutsch, Spanish. <br /> Audio: Dolby Surround 5.1. <br /> Picture Format: 16:9 Wide-Screen. <br /> Length: (approx) 98 minutes. <br /> Other: Interactive Menus, Chapter Selection, Subtitles (more languages).					29.99	7	0000-00-00 00:00:00	2003-11-03 12:32:17	9	Warner	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
DVD-FDBL	dvd/fire_down_below.gif	Fire Down Below Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br />  Languages: English, Deutsch.  <br />  Subtitles: English, Deutsch, Spanish.  <br />  Audio: Dolby Surround 5.1.  <br />  Picture Format: 16:9 Wide-Screen.  <br />  Length: (approx) 100 minutes.  <br />  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		Fire Down Below Linked	Regional Code: 2 (Japan, Europe, Middle East, South Africa).  <br />  Languages: English, Deutsch.  <br />  Subtitles: English, Deutsch, Spanish.  <br />  Audio: Dolby Surround 5.1.  <br />  Picture Format: 16:9 Wide-Screen.  <br />  Length: (approx) 100 minutes.  <br />  Other: Interactive Menus, Chapter Selection, Subtitles (more languages).					29.99	7	0000-00-00 00:00:00	2003-11-03 12:32:17	10	Warner	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
DVD-SPEED2	dvd/speed_2.gif	Speed 2: Cruise Control	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br /> Languages: English, Deutsch. <br /> Subtitles: English, Deutsch, Spanish. <br /> Audio: Dolby Surround 5.1. <br /> Picture Format: 16:9 Wide-Screen. <br /> Length: (approx) 120 minutes. <br /> Other: Interactive Menus, Chapter Selection, Subtitles (more languages).		Speed 2: Cruise Control	Regional Code: 2 (Japan, Europe, Middle East, South Africa). <br /> Languages: English, Deutsch. <br /> Subtitles: English, Deutsch, Spanish. <br /> Audio: Dolby Surround 5.1. <br /> Picture Format: 16:9 Wide-Screen. <br /> Length: (approx) 120 minutes. <br /> Other: Interactive Menus, Chapter Selection, Subtitles (more languages).					42	7	0000-00-00 00:00:00	2003-11-03 12:32:17	10	Fox	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
PC-UNTM	gt_interactive/unreal_tournament.gif	Unreal Tournament Linked	From the creators of the best-selling Unreal, comes Unreal Tournament. A new kind of single player experience. A ruthless multiplayer revolution.<br /><br />This stand-alone game showcases completely new team-based gameplay, groundbreaking multi-faceted single player action or dynamic multi-player mayhem. It's a fight to the finish for the title of Unreal Grand Master in the gladiatorial arena. A single player experience like no other! Guide your team of 'bots' (virtual teamates) against the hardest criminals in the galaxy for the ultimate title - the Unreal Grand Master.	www.unrealtournament.net	Unreal Tournament Linked	From the creators of the best-selling Unreal, comes Unreal Tournament. A new kind of single player experience. A ruthless multiplayer revolution.<br /><br />This stand-alone game showcases completely new team-based gameplay, groundbreaking multi-faceted single player action or dynamic multi-player mayhem. It's a fight to the finish for the title of Unreal Grand Master in the gladiatorial arena. A single player experience like no other! Guide your team of 'bots' (virtual teamates) against the hardest criminals in the galaxy for the ultimate title - the Unreal Grand Master.	www.unrealtournament.net				89.99	7	0000-00-00 00:00:00	2003-11-03 12:32:17	13	GT Interactive	Car Accessories	Alcohol Breath Tester						Taxable Goods	1	EOREOR
PC-UNTM	gt_interactive/unreal_tournament.gif	Unreal Tournament Linked	From the creators of the best-selling Unreal, comes Unreal Tournament. A new kind of single player experience. A ruthless multiplayer revolution.<br /><br />This stand-alone game showcases completely new team-based gameplay, groundbreaking multi-faceted single player action or dynamic multi-player mayhem. It's a fight to the finish for the title of Unreal Grand Master in the gladiatorial arena. A single player experience like no other! Guide your team of 'bots' (virtual teamates) against the hardest criminals in the galaxy for the ultimate title - the Unreal Grand Master.	www.unrealtournament.net	Unreal Tournament Linked	From the creators of the best-selling Unreal, comes Unreal Tournament. A new kind of single player experience. A ruthless multiplayer revolution.<br /><br />This stand-alone game showcases completely new team-based gameplay, groundbreaking multi-faceted single player action or dynamic multi-player mayhem. It's a fight to the finish for the title of Unreal Grand Master in the gladiatorial arena. A single player experience like no other! Guide your team of 'bots' (virtual teamates) against the hardest criminals in the galaxy for the ultimate title - the Unreal Grand Master.	www.unrealtournament.net				89.99	7	0000-00-00 00:00:00	2003-11-03 12:32:17	13	GT Interactive	Camera and Camcorder	Digital Camera	Top brand Digital Cameras	Fujifilm Digital Camera				Taxable Goods	1	EOREOR
